objectid,parentid,object_location,title,item_type,date,owner_firstname,manufacturer,vendor,description,items_available,subject,location,format,display_template,image_small,image_thumb
rd0024,,,Skeleton hand rose,record,,Anneliese,VintageSealCo,Etsy,,1,bones;skeletons;hands;roses,,image/jpeg,multiple,/objects/small/sl0024_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0024_ae_2026-04-11_th.jpg
sl0024,rd0024,https://i.ibb.co/Y4vpnBRd/sl0024-ae-2026-04-11.jpg,Skeleton hand rose seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0024_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0024_ae_2026-04-11_th.jpg
st0024,rd0024,https://i.ibb.co/3yDq9htC/st0024-ae-2026-03-27.jpg,Skeleton hand rose stamp,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0024_ae_2026-03-27_sm.jpg,/objects/thumbs/st0024_ae_2026-03-27_th.jpg
rd0025,,,Ribcage,record,,Anneliese,VintageSealCo,Etsy,,1,bones;ribcages,,image/jpeg,multiple,/objects/small/sl0025_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0025_ae_2026-04-11_th.jpg
sl0025,rd0025,https://i.ibb.co/PsVK4DDZ/sl0025-ae-2026-04-11.jpg,Ribcage seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0025_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0025_ae_2026-04-11_th.jpg
st0025,rd0025,https://i.ibb.co/5WPVqTj5/st0025-ae-2026-03-27.jpg,Ribcage stamp,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0025_ae_2026-03-27_sm.jpg,/objects/thumbs/st0025_ae_2026-03-27_th.jpg
rd0026,,,Snowman,record,,Anneliese,ArtesCraftSupplies,Etsy,,1,winter;snowmen,,image/jpeg,multiple,/objects/small/sl0026_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0026_ae_2026-04-11_th.jpg
sl0026,rd0026,https://i.ibb.co/N6p33yZb/sl0026-ae-2026-04-11.jpg,Snowman seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0026_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0026_ae_2026-04-11_th.jpg
st0026,rd0026,https://i.ibb.co/cSmphGxq/st0026-ae-2026-03-27.jpg,Snowman stamp,StillImage,,Anneliese,ArtesCraftSupplies,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0026_ae_2026-03-27_sm.jpg,/objects/thumbs/st0026_ae_2026-03-27_th.jpg
rd0027,,,Spider web,record,,Anneliese,Made of Honour,Made of Honour,,1,spider webs,,image/jpeg,multiple,/objects/small/sl0027_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0027_ae_2026-04-11_th.jpg
sl0027,rd0027,https://i.ibb.co/zHZCbfzR/sl0027-ae-2026-04-11.jpg,Spider web seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0027_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0027_ae_2026-04-11_th.jpg
st0027,rd0027,https://i.ibb.co/WpsdDwPW/st0027-ae-2026-03-27.jpg,Spider web stamp,StillImage,,Anneliese,Made of Honour,Made of Honour,,,,AE_house,image/jpeg,image,/objects/small/st0027_ae_2026-03-27_sm.jpg,/objects/thumbs/st0027_ae_2026-03-27_th.jpg
rd0028,,,Winter cabin,record,,Anneliese,ArtesCraftSupplies,Etsy,,1,winter;log cabins,,image/jpeg,multiple,/objects/small/sl0028_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0028_ae_2026-04-11_th.jpg
sl0028,rd0028,https://i.ibb.co/qL1JqQSF/sl0028-ae-2026-04-11.jpg,Winter cabin seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0028_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0028_ae_2026-04-11_th.jpg
st0028,rd0028,https://i.ibb.co/jPPPqjQ9/st0028-ae-2026-03-27.jpg,Winter cabin stamp,StillImage,,Anneliese,ArtesCraftSupplies,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0028_ae_2026-03-27_sm.jpg,/objects/thumbs/st0028_ae_2026-03-27_th.jpg
rd0029,,,Cat ghostie,record,,Anneliese,Made of Honour,Made of Honour,,1,cats;ghosts;Halloween,,image/jpeg,multiple,/objects/small/sl0029_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0029_ae_2026-04-11_th.jpg
sl0029,rd0029,https://i.ibb.co/DHF6WCHF/sl0029-ae-2026-04-11.jpg,Cat ghostie seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0029_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0029_ae_2026-04-11_th.jpg
st0029,rd0029,https://i.ibb.co/20WYQfVb/st0029-ae-2026-03-27.jpg,Cat ghostie stamp,StillImage,,Anneliese,Made of Honour,Made of Honour,,,,AE_house,image/jpeg,image,/objects/small/st0029_ae_2026-03-27_sm.jpg,/objects/thumbs/st0029_ae_2026-03-27_th.jpg
rd0030,,,Octopus,record,,Anneliese,VintageSealCo,Etsy,,1,octopuses,,image/jpeg,multiple,/objects/small/sl0030_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0030_ae_2026-04-11_th.jpg
sl0030,rd0030,https://i.ibb.co/rG2RC3Kx/sl0030-ae-2026-04-11.jpg,Octopus seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0030_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0030_ae_2026-04-11_th.jpg
st0030,rd0030,https://i.ibb.co/RTZL4K3d/st0030-ae-2026-03-27.jpg,Octopus stamp,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0030_ae_2026-03-27_sm.jpg,/objects/thumbs/st0030_ae_2026-03-27_th.jpg
rd0031,,,Skull lover,record,,Anneliese,AmyWeddingSupplies,Etsy,,1,bones;skeletons,,image/jpeg,multiple,/objects/small/sl0031_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0031_ae_2026-04-11_th.jpg
sl0031,rd0031,https://i.ibb.co/WW7cL2hs/sl0031-ae-2026-04-11.jpg,Skull lover seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0031_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0031_ae_2026-04-11_th.jpg
st0031,rd0031,https://i.ibb.co/5gdgc8hw/st0031-ae-2026-03-27.jpg,Skull lover stamp,StillImage,,Anneliese,AmyWeddingSupplies,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0031_ae_2026-03-27_sm.jpg,/objects/thumbs/st0031_ae_2026-03-27_th.jpg
